year,race,sex,life_expectancy
1910,White,Male,48.6
1909,White,Male,50.9
1908,White,Male,49.9
1907,White,Male,46
1906,White,Male,47.3
1905,White,Male,47.6
1904,White,Male,46.6
1903,White,Male,49.5
1902,White,Male,50.2
1901,White,Male,48
1900,White,Male,46.6
